"2026-01-15","198.58.117.211","United States","HTTP","/config_dump"
"2026-01-15","198.58.117.211","United States","HTTP","/agc/vicidial.php"
"2026-01-15","198.58.117.211","United States","HTTP","/admin.php"
"2026-01-15","198.58.117.211","United States","HTTP","/agent/vicidial.php"
"2026-01-15","198.58.117.211","United States","HTTP","/kubepi/fav.png"
"2026-01-15","198.58.117.211","United States","HTTP","/system/gwinfo"
"2026-01-15","198.58.117.211","United States","HTTP","/agent/vicidial.php"
"2026-01-15","198.58.117.211","United States","HTTP","/AppsHome.do"
"2026-01-15","198.58.117.211","United States","HTTP","/index.do"
"2026-01-15","198.58.117.211","United States","HTTP","/start.asp"
"2026-01-15","198.58.117.211","United States","HTTP","/index.do"
"2026-01-15","198.58.117.211","United States","HTTP","/AppsHome.do"
"2026-01-15","198.58.117.211","United States","HTTP","/api/status"
"2026-01-15","198.58.117.211","United States","HTTP","/openapi.json"
"2026-01-15","198.58.117.211","United States","HTTP","/decisioncenter-api/v1/about"
"2026-01-15","198.58.117.211","United States","HTTP","/system/gwinfo"
"2026-01-15","198.58.117.211","United States","HTTP","/api/status"
"2026-01-15","198.58.117.211","United States","HTTP","/public/static/favicon.png"
"2026-01-15","198.58.117.211","United States","HTTP","/menu.jsp"
"2026-01-15","198.58.117.211","United States","HTTP","/openapi.json"
"2026-01-15","198.58.117.211","United States","HTTP","/decisioncenter-api/v1/about"
"2026-01-15","198.58.117.211","United States","HTTP","/~login"
"2026-01-15","198.58.117.211","United States","HTTP","/agc/vicidial.php"
"2026-01-15","198.58.117.211","United States","HTTP","/info.htm"
"2026-01-15","198.58.117.211","United States","HTTP","/nifi/"
"2026-01-15","198.58.117.211","United States","HTTP","/nifi-api/flow/about"
"2026-01-15","198.58.117.211","United States","HTTP","/nifi-api/flow/about"
"2026-01-15","198.58.117.211","United States","HTTP","/index.jhtml"
"2026-01-15","198.58.117.211","United States","HTTP","/nifi/"
"2026-01-15","198.58.117.211","United States","HTTP","/admin.cgi"
"2026-01-15","198.58.117.211","United States","HTTP","/api-description"
"2026-01-15","198.58.117.211","United States","HTTP","/index.lua"
"2026-01-15","198.58.117.211","United States","HTTP","/index.lua"
"2026-01-15","198.58.117.211","United States","HTTP","/cgi-bin/meteobridge.cgi"
"2026-01-15","198.58.117.211","United States","HTTP","/jtcgi/wte.pyc"
"2026-01-15","198.58.117.211","United States","HTTP","/api-description"
"2026-01-15","198.58.117.211","United States","HTTP","/info.htm"
"2026-01-15","198.58.117.211","United States","HTTP","/jtcgi/wte.pyc"
"2026-01-15","198.58.117.211","United States","HTTP","/monitor/index.php/auth/login"
"2026-01-15","198.58.117.211","United States","HTTP","/home.jhtml"
"2026-01-15","198.58.117.211","United States","HTTP","/v2"
"2026-01-15","198.58.117.211","United States","HTTP","/sys/en/neoclassic/login/login"
"2026-01-15","198.58.117.211","United States","HTTP","/v2"
"2026-01-15","198.58.117.211","United States","HTTP","/start.php"
"2026-01-15","198.58.117.211","United States","HTTP","/cgi-bin/meteobridge.cgi"
"2026-01-15","198.58.117.211","United States","HTTP","/nmaplowercheck1768442888"
"2026-01-15","198.58.117.211","United States","HTTP","/wp-content/plugins/post-smtp/readme.txt"
"2026-01-15","198.58.117.211","United States","HTTP","/sys/en/neoclassic/login/login"
"2026-01-15","198.58.117.211","United States","HTTP","/sap/bc/ui2/flp"
"2026-01-15","198.58.117.211","United States","HTTP","/dashboard/"
"2026-01-15","198.58.117.211","United States","HTTP","/management/v1/cluster/state"
"2026-01-15","198.58.117.211","United States","HTTP","/ignite?cmd=version"
"2026-01-15","198.58.117.211","United States","HTTP","/menu.cgi"
"2026-01-15","198.58.117.211","United States","HTTP","/browser/index.html"
"2026-01-15","198.58.117.211","United States","HTTP","/management/v1/cluster/state"
"2026-01-15","198.58.117.211","United States","HTTP","/sap/bc/ui2/flp"
"2026-01-15","198.58.117.211","United States","HTTP","/monitor/index.php/auth/login"
"2026-01-15","198.58.117.211","United States","HTTP","/help/en_US/Content/utm/utmAdminGuide/WebAdmin.htm"
"2026-01-15","198.58.117.211","United States","HTTP","/help/en_US/Content/utm/utmAdminGuide/WebAdmin.htm"
"2026-01-15","198.58.117.211","United States","HTTP","/main.aspx"
"2026-01-15","198.58.117.211","United States","HTTP","/evox/about"
"2026-01-15","198.58.117.211","United States","HTTP","/webui/index.html"
"2026-01-15","198.58.117.211","United States","HTTP","/browser/index.html"
"2026-01-15","198.58.117.211","United States","HTTP","/ignite?cmd=version"
"2026-01-15","198.58.117.211","United States","HTTP","/api/v2.0/systeminfo"
"2026-01-15","198.58.117.211","United States","HTTP","/api/v2.0/systeminfo"
"2026-01-15","198.58.117.211","United States","HTTP","/cgi-bin/getagent.cgi?type=s"
"2026-01-15","198.58.117.211","United States","HTTP","/api/system/status"
"2026-01-15","198.58.117.211","United States","HTTP","/home.shtml"
"2026-01-15","198.58.117.211","United States","HTTP","/nmc/rss/server"
"2026-01-15","198.58.117.211","United States","HTTP","/api/v1/cluster/summary"
