"2025-05-17","93.123.109.228","Bulgaria","HTTP","/configuration/.env"
"2025-05-17","93.123.109.228","Bulgaria","HTTP","/prod/.env"
"2025-05-17","93.123.109.228","Bulgaria","HTTP","/files/.git/config"
"2025-05-17","93.123.109.228","Bulgaria","HTTP","/www/.git/config"
"2025-05-17","93.123.109.228","Bulgaria","HTTP","/.aws/credentials"
"2025-05-17","93.123.109.228","Bulgaria","HTTP","/.env.dev"
"2025-05-17","93.123.109.228","Bulgaria","HTTP","/.env.development.local"
"2025-05-17","93.123.109.228","Bulgaria","HTTP","/.env.local"
"2025-05-17","93.123.109.228","Bulgaria","HTTP","/.env.sandbox"
"2025-05-17","93.123.109.228","Bulgaria","HTTP","/admin/.git/config"
"2025-05-17","93.123.109.228","Bulgaria","HTTP","/app/.git/config"
"2025-05-17","93.123.109.228","Bulgaria","HTTP","/.env.ci"
"2025-05-17","93.123.109.228","Bulgaria","HTTP","/docker-compose.prod.yml"
"2025-05-17","93.123.109.228","Bulgaria","HTTP","/.env.stage"
"2025-05-17","93.123.109.228","Bulgaria","HTTP","/.env.template"
"2025-05-17","93.123.109.228","Bulgaria","HTTP","/.env.test"
"2025-05-17","93.123.109.228","Bulgaria","HTTP","/static../.git/config"
"2025-05-17","93.123.109.228","Bulgaria","HTTP","/.env_sample"
